Verkeersveiligheidsschool Gaasbeek / VVSG;Dahliastraat;92;POLYGON((259509.351166662 472423.567452702,259496.051976236 472418.145816916,259496.051952736 472418.145874793,259495.798953364 472418.772153364,259495.717067833 472418.973976271,259495.332973564 472419.921027592,259494.513019226 472419.581077604,259493.420060026 472422.261996509,259493.343008624 472422.451148741,259494.122936052 472422.921102561,259494.062911617 472423.070928713,259501.715011751 472426.045001323,259502.693887093 472423.566876929,259508.453087144 472425.844150021,259509.35100874 472423.567848533,259509.351166662 472423.567452702));POLYGON((259503.726661123 472421.098399707,259495.406529673 472417.544669796,259493.954559499 472420.543516694,259502.091758197 472424.475055013,259503.726661123 472421.098399707));POINT(259497.789 472421.422)
BMS KleinBedrijf Advies;Lammerinkweg;5;POLYGON((253869.659740493 469134.847860465,253870.51208 469142.51605,253870.66089 469142.500125,253871.04777567 469145.986145214,253877.582970031 469145.260021121,253881.221110246 469144.857028353,253881.098058958 469143.749096891,253880.147933544 469134.208078658,253879.842953345 469134.237003794,253879.853991406 469134.34685082,253879.077050466 469134.421927158,253877.214047123 469134.601976573,253877.146886971 469133.994875239,253876.832023486 469134.029972451,253876.843977404 469134.137876269,253876.683901624 469134.155102335,253869.659740493 469134.847860465));POLYGON((253870.951839046 469132.274745963,253870.720776333 469140.218612535,253880.65903642 469139.330541886,253879.955409705 469131.492007772,253870.951839046 469132.274745963));POINT(253875.317 469139.536)
Kyeron Medical Inovations;Dr. Benthemstraat;49;POLYGON((257974.902099759 471901.199897375,257974.9021 471901.1999,257975.008517118 471902.26203373,257975.148892898 471903.663073625,257978.666052458 471903.319874338,257978.433058576 471901.000997471,257981.386950487 471900.712072634,257980.340907029 471890.237971881,257979.744063288 471890.296148676,257979.000013541 471889.383876008,257977.567112316 471889.523946297,257977.01395891 471890.562973499,257974.377009079 471890.821022028,257975.409943844 471901.149852019,257974.902099759 471901.199897375));POLYGON((257974.445815491 471886.695234336,257974.963918708 471896.326967547,257980.262096748 471896.04516945,257979.750013447 471886.419683909,257974.445815491 471886.695234336));POINT(257977.635 471893.116)
Wendrich Ir H;Stokhorstlaan;76;POLYGON((259787.521724817 473343.387660107,259787.52198 473343.3861,259788.982803477 473334.014203517,259788.982021555 473334.014075852,259785.216919744 473333.400149397,259784.358101237 473338.66287561,259778.936079713 473337.778875033,259776.849057881 473350.580947505,259783.519057265 473351.669048684,259784.93793394 473342.964900259,259787.521979124 473343.38609866,259787.521724817 473343.387660107));POLYGON((259779.778610203 473351.691295804,259785.779732753 473352.063184926,259786.593351906 473338.849847785,259780.604483674 473338.478216779,259779.778610203 473351.691295804));POINT(259780.997 473346.444)
Foto's Vertellen;Everhardt vd Marckstraat;18;POLYGON((256327.079218411 472171.756851136,256324.533041223 472172.590104337,256324.825058489 472173.458903078,256323.215062483 472173.988976902,256323.214603449 472173.989126939,256325.514846708 472181.193968956,256325.515056778 472181.193900167,256327.202112151 472180.641073284,256328.703089383 472185.224871125,256330.530899947 472184.625901004,256330.530900326 472184.62590088,256330.5309 472184.6259,256329.17091 472179.9511,256328.62305 472180.110025,256327.02708 472175.04815,256328.0791 472174.700075,256327.102980783 472171.749077368,256327.102976662 472171.749078717,256327.079218411 472171.756851136));POLYGON((256322.997730475 472174.284607971,256325.089616484 472180.716276745,256328.571227925 472179.395650097,256327.165036537 472172.699965639,256322.997730475 472174.284607971));POINT(256325.774 472176.303)
Camathe;Hogelandsingel;87;POLYGON((258931.670828714 470498.606924047,258931.75408 470498.654925,258934.09025962 470500.060447077,258934.429900411 470499.50902235,258936.700921786 470500.879876291,258936.776550219 470500.925547996,258942.254481313 470492.105520761,258942.208962142 470492.077898468,258939.48599348 470490.42592438,258938.810943561 470491.510123215,258936.230107857 470489.942001758,258931.372046845 470497.767023555,258931.967982694 470498.12615078,258931.670828714 470498.606924047));POLYGON((258937.768495166 470500.632891214,258941.971429919 470490.882082588,258938.352976375 470488.538042744,258932.647567706 470497.325397691,258937.768495166 470500.632891214));POINT(258936.83 470495.63)
Witteveen Mode;De Heurne;4/A;POLYGON((258294.971024235 471273.137075588,258307.12399 471274.82415,258307.51292 471271.42985,258303.60499 471270.8039,258303.5491 471271.36615,258302.07411 471271.17115,258302.27996 471269.525025,258295.456093127 471268.998850241,258295.22908032 471271.216002019,258294.971024235 471273.137075588));POLYGON((258294.651688005 471276.651301676,258316.514257328 471275.538806474,258313.934993301 471275.508461865,258313.868356501 471271.048159218,258314.832619367 471271.03989632,258313.111467248 471268.550978181,258295.574843196 471270.004945319,258294.651688005 471276.651301676));POINT(258299.92 471272.62)
Shifty SK8Shop;Noorderhagen;72;MULTIPOLYGON(((258233.452432815 471407.521949741,258226.35006 471402.79485,258224.644361752 471401.577602216,258224.613099302 471401.628099617,258222.779076843 471400.350846205,258219.737103432 471404.613871297,258221.40069594 471406.543054614,258222.60106 471407.93505,258228.880609104 471414.140867604,258228.938936219 471414.072024431,258233.431992595 471407.519047609,258233.452432815 471407.521949741)),((258221.187939918 471399.110974944,258221.179610019 471399.105300722,258221.187939515 471399.110975666,258221.187939918 471399.110974944)));POLYGON((258211.075655258 471402.252295671,258211.384938689 471402.859957545,258228.865808061 471412.494128186,258232.882400503 471407.385919391,258221.658032174 471397.233047882,258211.075655258 471402.252295671));POINT(258226.52 471407.44)
Tor Jazzcafé Sociëteit De;Walstraat;21;POLYGON((258005.668972367 471211.117001121,258005.66897 471211.117,257992.77195 471204.17305,257988.72211 471211.478075,257986.257890232 471215.871099586,257990.091067057 471217.657950992,257990.526003305 471216.707976894,258000.108951836 471221.062977866,258000.755020871 471221.356123607,258005.668972367 471211.117001121));MULTIPOLYGON(((258005.467370236 471211.396939165,257989.544851589 471202.347326845,257982.406493649 471209.38137092,257987.384233327 471212.011281411,257986.212834151 471216.078387252,257999.871258012 471221.292892258,258005.467370236 471211.396939165)),((257980.920829552 471210.84532479,257976.395872213 471215.304158269,257978.08298763 471216.074771487,257980.920829552 471210.84532479)));POINT(257996.05 471212.19)
Cucina La Restaurant & Wijnbar;Van Lochemstraat;226;POLYGON((258160.487820791 471438.556411709,258162.19409 471437.53215,258167.25892 471434.509975,258171.62631463 471431.881646787,258168.217364381 471425.482611677,258168.2171 471425.482125,258159.30586672 471430.232513825,258159.368998659 471430.347048469,258159.630049604 471430.085097595,258160.51302283 471431.555071096,258157.629046603 471433.031877683,258160.487820791 471438.556411709));POLYGON((258154.115384284 471433.391998601,258154.013661494 471434.253223067,258158.276222914 471441.815446185,258162.090234421 471441.669919513,258170.618569587 471438.377982139,258176.301779311 471433.544478453,258171.906661736 471424.329043787,258154.115384284 471433.391998601));POINT(258164.48 471432.13)
